ダウンロードした時刻：2026/05/27 16:02:17

,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2024/10/25,21.6,8,1,25.4,8,1,19.4,8,1
2024/10/26,21.2,8,1,22.8,8,1,19.5,8,1
2024/10/27,22.7,8,1,25.4,8,1,19.6,8,1
2024/10/28,19.5,8,1,21.7,8,1,17.4,8,1
2024/10/29,18.6,8,1,19.8,8,1,17.7,8,1
2024/10/30,18.9,8,1,23.8,8,1,16.0,8,1
2024/10/31,18.7,8,1,21.8,8,1,14.7,8,1
2024/11/1,20.5,8,1,22.5,8,1,18.3,8,1
2024/11/2,20.7,8,1,23.2,8,1,19.2,8,1
2024/11/3,19.1,8,1,23.3,8,1,15.1,8,1
2024/11/4,18.9,8,1,22.8,8,1,14.0,8,1
2024/11/5,19.0,8,1,21.7,8,1,16.5,8,1
2024/11/6,17.0,8,1,20.2,8,1,14.9,8,1
2024/11/7,13.5,8,1,16.0,8,1,10.5,8,1
2024/11/8,13.1,8,1,16.4,8,1,10.0,8,1
2024/11/9,15.0,8,1,20.3,8,1,10.2,8,1
2024/11/10,18.1,8,1,22.9,8,1,12.4,8,1
2024/11/11,18.8,8,1,22.5,8,1,15.9,8,1
2024/11/12,18.0,8,1,22.1,8,1,13.8,8,1
2024/11/13,18.1,8,1,21.5,8,1,14.6,8,1
2024/11/14,17.2,8,1,20.5,8,1,12.5,8,1
2024/11/15,18.9,8,1,20.3,8,1,17.1,8,1
2024/11/16,18.8,8,1,19.8,8,1,17.4,8,1
2024/11/17,19.6,8,1,22.3,8,1,16.8,8,1
2024/11/18,13.5,8,1,17.5,8,1,9.4,8,1
2024/11/19,10.0,8,1,12.1,8,1,8.0,8,1
2024/11/20,11.9,8,1,15.1,8,1,8.0,8,1
2024/11/21,13.6,8,1,18.3,8,1,9.1,8,1
2024/11/22,14.3,8,1,18.1,8,1,11.0,8,1
2024/11/23,10.9,8,1,14.1,8,1,8.9,8,1
2024/11/24,10.2,8,1,13.4,8,1,7.0,8,1
2024/11/25,12.1,8,1,17.0,8,1,7.3,8,1
2024/11/26,15.5,8,1,18.9,8,1,12.5,8,1
2024/11/27,13.2,8,1,15.8,8,1,11.0,8,1
